RF amplitude,Power meter readings (mW)
0.0,-0.0
70.0,0.0
140.0,0.01
211.0,0.03
281.0,0.05
351.0,0.07
421.0,0.11
492.0,0.15
562.0,0.19
632.0,0.24
702.0,0.3
773.0,0.36
843.0,0.43
913.0,0.5
983.0,0.58
1053.0,0.66
1124.0,0.75
1194.0,0.84
1264.0,0.95
1334.0,1.06
1405.0,1.17
1475.0,1.28
1545.0,1.41
1615.0,1.53
1686.0,1.66
1756.0,1.81
1826.0,1.94
1896.0,2.07
1966.0,2.22
2037.0,2.38
2107.0,2.51
2177.0,2.68
2247.0,2.88
2318.0,3.06
2388.0,3.2
2458.0,3.34
2528.0,3.49
2599.0,3.66
2669.0,3.85
2739.0,4.08
2809.0,4.24
2879.0,4.42
2950.0,4.6
3020.0,4.79
3090.0,4.97
3160.0,5.17
3231.0,5.34
3301.0,5.52
3371.0,5.68
3441.0,5.98
3512.0,6.19
3582.0,6.29
3652.0,6.42
3722.0,6.64
3792.0,6.91
3863.0,7.1
3933.0,7.21
4003.0,7.32
4073.0,7.72
4144.0,7.91
4214.0,8.03
4284.0,8.2
4354.0,8.42
4424.0,8.61
4495.0,8.75
4565.0,8.89
4635.0,9.07
4705.0,9.22
4776.0,9.26
4846.0,9.36
4916.0,9.6
4986.0,9.85
5057.0,9.95
5127.0,10.05
5197.0,10.19
5267.0,10.38
5337.0,10.57
5408.0,10.58
5478.0,10.77
5548.0,10.97
5618.0,11.18
5689.0,11.14
5759.0,11.16
5829.0,11.37
5899.0,11.56
5970.0,11.6
6040.0,11.66
6110.0,11.78
6180.0,11.89
6250.0,11.93
6321.0,11.96
6391.0,12.1
6461.0,12.18
6531.0,12.27
6602.0,12.19
6672.0,12.06
6742.0,12.24
6812.0,12.33
6883.0,12.24
6953.0,12.26
7023.0,12.39
